Respondent ID;Collector ID;Start Date;End Date;IP Address;Email Address;First Name;Last Name;Custom Data 1;Ég er;Ég nota;Gervigreindin sem ég nota er;;Þegar ég spyr gervigreindina að einhverju;
;;;;;;;;;Response;Response;Response;Annað, hvað?;Response;nota ég annað tungumál, hvaða?
1,19117E+11;464548087;2026-05-11 10:57:35;2026-05-11 10:58:16;194.144.239.210;;;;;60-69 ára.;oft gervigreind.;Annað, hvað?;ChatGPT, CoPilot, Al mode á netinu;nota ég ýmist íslensku eða ensku.;
1,19116E+11;464548087;2026-05-09 23:37:05;2026-05-09 23:37:28;157.157.148.176;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég ensku.;
1,19116E+11;464548087;2026-05-09 23:35:26;2026-05-09 23:36:53;157.157.148.176;;;;;50-59 ára.;stundum gervigreind.;Annað, hvað?;Co pilot;nota ég ýmist íslensku eða ensku.;
1,19116E+11;464548087;2026-05-09 23:32:56;2026-05-09 23:33:12;157.157.148.176;;;;;40-49 ára.;stundum gervigreind.;Claude (Anthropic);;nota ég ýmist íslensku eða ensku.;
1,19116E+11;464548087;2026-05-09 16:51:59;2026-05-09 16:52:35;213.220.125.50;;;;;50-59 ára.;oft gervigreind.;Annað, hvað?;Copilot;nota ég ýmist íslensku eða ensku.;
1,19114E+11;464548087;2026-05-07 11:08:19;2026-05-07 11:08:37;213.220.100.180;;;;;30-39 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19114E+11;464548087;2026-05-06 15:51:44;2026-05-06 15:53:13;213.220.100.177;;;;;60-69 ára.;oft gervigreind.;Annað, hvað?;Gemini og Copilot og ChatGPT;nota ég ýmist íslensku eða ensku.;
1,19114E+11;464548087;2026-05-06 10:56:18;2026-05-06 11:01:29;213.220.100.180;;;;;30-39 ára.;stundum gervigreind.;Annað, hvað?;Notebook LM (Google);nota ég ýmist íslensku eða ensku.;
1,19113E+11;464548087;2026-05-06 09:15:49;2026-05-06 09:16:47;213.190.110.104;;;;;60-69 ára.;stundum gervigreind.;Claude (Anthropic);;nota ég ensku.;
1,19113E+11;464548087;2026-05-05 23:22:39;2026-05-05 23:23:05;81.15.96.106;;;;;40-49 ára.;stundum gervigreind.;Gemini (Google);;nota ég íslensku.;
1,19113E+11;464548087;2026-05-05 22:25:16;2026-05-05 22:25:31;89.160.215.109;;;;;60-69 ára.;aldrei gervigreind.;;;;
1,19113E+11;464548087;2026-05-05 17:57:39;2026-05-05 17:59:42;89.160.133.26;;;;;60-69 ára.;stundum gervigreind.;Gemini (Google);;nota ég ensku.;
1,19113E+11;464548087;2026-05-05 16:46:28;2026-05-05 16:46:50;213.220.100.180;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19113E+11;464548087;2026-05-05 14:55:10;2026-05-05 14:55:27;194.144.178.145;;;;;50-59 ára.;oft gervigreind.;Claude (Anthropic);;nota ég íslensku.;
1,19113E+11;464548087;2026-05-05 11:37:50;2026-05-05 11:38:11;213.220.100.177;;;;;60-69 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19113E+11;464548087;2026-05-05 11:01:01;2026-05-05 11:01:56;213.220.67.246;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19113E+11;464548087;2026-05-05 10:53:01;2026-05-05 10:53:22;157.157.113.211;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19113E+11;464548087;2026-05-05 10:42:48;2026-05-05 10:43:09;194.144.239.210;;;;;50-59 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19113E+11;464548087;2026-05-05 10:23:42;2026-05-05 10:24:47;213.220.100.177;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19113E+11;464548087;2026-05-05 10:03:21;2026-05-05 10:04:15;89.17.138.213;;;;;40-49 ára.;oft gervigreind.;Annað, hvað?;Claude, Gemini, ChatGPT (í þessari röð);nota ég ýmist íslensku eða ensku.;
1,19113E+11;464548087;2026-05-05 07:04:25;2026-05-05 07:05:25;85.220.3.142;;;;;70 ára eða eldri.;stundum gervigreind.;Annað, hvað?;AI;nota ég íslensku.;
1,19113E+11;464548087;2026-05-05 06:26:14;2026-05-05 06:26:32;46.182.187.206;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-05 00:43:26;2026-05-05 00:43:49;85.220.79.62;;;;;18 ára eða yngri.;stundum gervigreind.;Annað, hvað?;Copilot;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 22:50:45;2026-05-04 22:51:13;31.209.158.7;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 21:33:09;2026-05-04 21:33:38;194.144.179.134;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 20:56:21;2026-05-04 20:56:54;89.17.142.101;;;;;50-59 ára.;oft gervigreind.;Claude (Anthropic);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 19:58:14;2026-05-04 19:58:39;213.220.70.116;;;;;40-49 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 18:33:43;2026-05-04 18:33:58;185.191.233.189;;;;;19-29 ára.;stundum gervigreind.;Gemini (Google);;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 16:45:10;2026-05-04 16:45:40;85.220.3.41;;;;;50-59 ára.;aldrei gervigreind.;Annað, hvað?;Engin;;
1,19112E+11;464548087;2026-05-04 15:57:38;2026-05-04 15:58:15;157.157.114.87;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 15:14:06;2026-05-04 15:14:17;157.157.113.136;;;;;50-59 ára.;stundum gervigreind.;Claude (Anthropic);;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 14:59:02;2026-05-04 14:59:45;213.220.100.177;;;;;40-49 ára.;oft gervigreind.;Annað, hvað?;CoPilot;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 14:58:33;2026-05-04 14:59:20;78.72.134.105;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 14:51:17;2026-05-04 14:51:35;194.144.239.210;;;;;50-59 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 14:26:14;2026-05-04 14:26:28;213.220.100.180;;;;;50-59 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-04 14:05:58;2026-05-04 14:07:22;194.144.239.210;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 13:48:31;2026-05-04 13:48:56;176.20.172.178;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 12:49:53;2026-05-04 12:50:07;213.220.100.180;;;;;60-69 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-04 12:36:50;2026-05-04 12:37:06;31.209.139.220;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 12:28:39;2026-05-04 12:29:06;213.220.100.177;;;;;50-59 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 11:45:54;2026-05-04 11:46:19;46.182.186.192;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 11:38:11;2026-05-04 11:38:54;157.157.41.25;;;;;60-69 ára.;stundum gervigreind.;Gemini (Google);;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 11:36:18;2026-05-04 11:36:42;213.220.100.177;;;;;40-49 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 10:59:11;2026-05-04 10:59:29;157.157.63.59;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 10:47:58;2026-05-04 10:48:27;194.144.239.210;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 10:40:29;2026-05-04 10:40:52;213.220.100.190;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 10:21:35;2026-05-04 10:22:10;153.92.155.221;;;;;50-59 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-04 10:19:42;2026-05-04 10:20:03;130.208.252.23;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 10:18:51;2026-05-04 10:19:12;213.220.100.180;;;;;19-29 ára.;aldrei gervigreind.;Annað, hvað?;Ekkert;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 10:04:44;2026-05-04 10:05:01;213.220.100.180;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 10:02:33;2026-05-04 10:02:58;89.160.208.181;;;;;70 ára eða eldri.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 09:58:33;2026-05-04 09:59:00;213.220.100.177;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 09:47:07;2026-05-04 09:47:36;31.209.140.52;;;;;70 ára eða eldri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 09:24:52;2026-05-04 09:25:25;46.182.186.90;;;;;30-39 ára.;stundum gervigreind.;Annað, hvað?;Og chatGPT;nota ég íslensku.;
1,19112E+11;464548087;2026-05-04 09:21:21;2026-05-04 09:23:12;193.109.23.90;;;;;19-29 ára.;stundum gervigreind.;Gemini (Google);;nota ég ensku.;
1,19112E+11;464548087;2026-05-04 08:21:35;2026-05-04 08:22:02;213.220.100.190;;;;;50-59 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-04 08:11:13;2026-05-04 08:11:50;213.220.100.180;;;;;50-59 ára.;stundum gervigreind.;Gemini (Google);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 06:26:10;2026-05-04 06:26:56;88.161.142.157;;;;;50-59 ára.;stundum gervigreind.;Annað, hvað?;deepl;nota ég annað tungumál, hvaða?;ýmist frönsku eða íslensku, örsjaldan ensku
1,19112E+11;464548087;2026-05-04 02:35:06;2026-05-04 02:35:23;130.208.240.24;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-04 00:03:08;2026-05-04 00:03:28;157.157.151.18;;;;;40-49 ára.;oft gervigreind.;Gemini (Google);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 23:19:06;2026-05-03 23:19:54;89.160.190.92;;;;;50-59 ára.;stundum gervigreind.;Gemini (Google);;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 22:44:00;2026-05-03 22:44:25;157.157.162.166;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ensku.;
