,,Merking,,Rétt notkun,,,Eyðufyllingar,,,Málmyndun,,Samsláttur,,,"athugasemdir, sjá vinnuskjal",
Kvaðning og dæmi,,verkefni 1,,verkefni 2,,"rétt eða rangt, íslenska",verkefni 3,,"rétt eða rangt, enska",verkefni 4,,verkefni 5,,,,
ChatGPT,atriði ,íslenska,enska,íslenska,enska,verkefni 3,íslenska,enska,verkefni 3,íslenska,enska,íslenska ,enska,,,
fyrir brjóst,1,1,1,1,1,1,brjóstið,brjóst,0,,,,,ÞT1,,verkefni 3
leggja upp laupa,2,1,1,1,1,1,laupana,laupana,1,,,,,,,
lausum hala,3,1,1,1,1,1,hala,hala,1,,,,,,,
taka pokann,4,1,1,1,1,1,pokann,pokann,1,,,,,,,
leggja orð í belg,5,1,1,1,1,1,belg,belg,1,,,,,,,
þruma úr heiðskíru lofti,6,1,1,1,1,1,þruma,þruma,1,,,,,D-Opera,,
gera sér mat úr,7,1,1,1,1,1,mat,mat,1,,,,,D-Opera,,
horn í síðu,8,1,1,1,1,1,horn,horn,1,,,,,D-Opera,,
heltast úr lestinni,9,1,1,1,1,0,datt,datt,0,,,,,D-Opera,,
skjóta ref fyrir rass,10,1,1,1,1,0,rækilega,langt,0,,,,,D-Opera,,
berjast í bökkum,11,1,1,1,1,0,fjárhagsvanda,basli,0,,,,,E-Chrome,,
þungur baggi,12,1,1,1,1,1,þungur,þungur,1,,,,,E-Chrome,,
tögl og hagldir,13,1,1,1,1,1,hagldir,hagldir,1,,,,,E-Chrome,,
skella skollaeyrum,14,1,1,1,1,1,skelltu,slógu,0,,,,,E-Chrome,,D-Opera
babb í bát,15,1,1,1,1,0,leki,leki,0,,,,,E-Chrome,,D-Opera
fingur,16,1,1,1,1,0,blanda,stinga,0,,,,,ÞT1,,D-Opera
böggum hild,17,1,1,1,1,0,áhyggjur,óhug,0,,,,,,,D-Opera
frétta,18,0,0,1,1,0,ásakana,ásakana,0,,,,,,,D-Opera
kippa lið,19,1,1,1,1,0,taka,taka,0,,,,,,,D-Opera
skrattinn,20,1,1,1,1,0,sauðaleggnum,sauðaleggnum,0,,,,,,,D-Opera
á prjónunum,21,1,1,1,1,1,prjónunum,prjónunum,1,,,,,D-Opera,,D-Opera
milli stafs og hurðar,22,1,1,1,1,0,steins,steins,0,,,,,D-Opera,,D-Opera
til handargagns,23,1,1,1,1,0,notkunar,nota,0,,,,,D-Opera,,D-Opera
kastast í kekki,24,1,1,1,1,1,kekki,brýnu,0,,,,,D-Opera,,D-Opera
vaða á súðum,25,1,1,1,1,0,skoðanir,vaða,1,,,,,D-Opera,,
leita hófanna,26,0,0,1,1,1,leituðu,leituðu,1,,,,,E-Chrome,,
geispa golunni,27,1,1,1,1,0,borist,borist,0,,,,,E-Chrome,,
vaða elginn,28,1,1,1,1,0,í ,út,0,,,,,E-Chrome,,
einn gráan,29,1,1,1,1,1,einn,einn,1,,,,,,,
þjófur á nóttu,30,1,1,1,1,1,þjófur,þjófur,1,,,,,D-Opera,,D-Opera
,,,,,,,,,,Þegar hann heyrði af tækifærinu ákvað hann að bregða undir sig betri fætinum og ná síðustu lestinni til að mæta á fundinn í tæka tíð. ,Hann ákvað að bregða undir sig betri fætinum og flýta sér heim áður en veðrið versnaði. ,,,,,
,,Merking,,Rétt notkun,,,Eyðufyllingar,,,Málmyndun,,Samsláttur,,,,
Kvaðning og dæmi,,verkefni 1,,verkefni 2,,"rétt eða rangt, íslenska",verkefni 3,,"rétt eða rangt, enska",verkefni 4,,verkefni 5,,,,
Gemini,atriði ,íslenska,enska,íslenska,enska,verkefni 3,íslenska,enska,verkefni 3,íslenska,enska,íslenska ,enska,,verkefni 3,
fyrir brjóst,1,1,1,1,1,1,brjóstið,brjóstið,1,,,,,E-Chrome,D-Opera,
leggja upp laupa,2,1,1,1,1,0,laupum,laust,0,,,,,E-Chrome,D-Opera,
lausum hala,3,1,1,1,1,1,hala,hala,1,,,,,E-Chrome,D-Opera,
taka pokann,4,1,1,1,1,0,poka,poka,1,,,,,E-Chrome,D-Opera,
leggja orð í belg,5,1,1,1,1,1,belg,belg,1,,,,,E-Chrome,D-Opera,
þruma,6,1,1,1,1,0,elding,Elding,0,,,,,ÞT1,D-Opera,
matur,7,1,1,1,1,0,matnað,matvæli,0,,,,,,D-Opera,
horn,8,1,1,1,1,0,horni,horn,1,,,,,,D-Opera,
lest,9,1,1,1,1,0,dróst,dróst,0,,,,,,D-Opera,
ref,10,1,1,1,1,0,refur,skelk,0,,,,,,D-Opera,
berjast í bökkum,11,1,1,1,1,1,bökkum,bökkum,1,,,,,D-Opera,D-Opera,
þungur baggi,12,1,1,1,1,1,þungur,þungur,1,,,,,D-Opera,D-Opera,
tögl og hagldir,13,1,1,1,1,1,hagldir,hagldir,1,,,,,D-Opera,D-Opera,
skollaeyru,14,1,1,1,1,1,skella,skella,1,,,,,D-Opera,D-Opera,
babb í bát,15,1,1,1,1,0,hnútur,hiksti,0,,,,,D-Opera,D-Opera,
fetta fingur,16,1,1,1,1,0,skipta,skipta,0,,,,,E-Chrome,,
böggum hild,17,1,1,1,1,0,kvíðboga,kvíðaboga,0,,,,,E-Chrome,,
verjast frétta,18,1,1,1,1,1,frétta,frétta,1,,,,,E-Chrome,,
kippa lið,19,1,1,1,1,0,koma,koma,0,,,,,E-Chrome,,
skrattinn,20,1,1,1,1,0,sauðaleggnum,sauðaleggnum,0,,,,,E-Chrome,,
